"Symbol","Timestamp","Human Time","NOPE","Stock Price","Stock Volume","Call Net Delta * Volume","Put Net Delta * Volume"
"SPY","1611671460000","January 26, 2021 9:31 am","14.630251654176","385.695","1749663","473746.1","-217766"
"SPY","1611671520000","January 26, 2021 9:32 am","15.56077771135","385.68","1992153","712220.9","-402226.4"
"SPY","1611671580000","January 26, 2021 9:33 am","9.7596811275425","385.595","2301359","907762.2","-683156.9"
"SPY","1611671640000","January 26, 2021 9:34 am","13.193445020958","385.51","2439184","1089258.6","-767446.2"
"SPY","1611671700000","January 26, 2021 9:35 am","13.622256424908","385.52","2604084","1236318.5","-881583.5"
"SPY","1611671760000","January 26, 2021 9:36 am","4.449166198401","385.08","2770863","1364308.6","-1241028.3"
"SPY","1611671820000","January 26, 2021 9:37 am","4.8013960093322","385.355","2926628","1552424.1","-1411905.1"
"SPY","1611671880000","January 26, 2021 9:38 am","3.7501218108274","385.19","3027235","1670637.9","-1557112.9"
"SPY","1611671940000","January 26, 2021 9:39 am","3.2066298427444","385.21","3123513","1761486.3","-1661326.8"
"SPY","1611672000000","January 26, 2021 9:40 am","1.063120505611","385.19","3215120","1804319.4","-1770138.8"
"SPY","1611672060000","January 26, 2021 9:41 am","-2.9048251764381","385.135","3425139","1915842.1","-2015336.4"
"SPY","1611672120000","January 26, 2021 9:42 am","-3.3058415431811","385.005","3515595","2031117.3","-2147337.3"
"SPY","1611672180000","January 26, 2021 9:43 am","-3.4269340559792","384.985","3595307","2153680.9","-2276889.7"
"SPY","1611672240000","January 26, 2021 9:44 am","-9.429348020495","384.76","3773999","2254478.4","-2610341.9"
"SPY","1611672300000","January 26, 2021 9:45 am","-8.9640000071924","384.875","3892973","2428649.7","-2777615.8"
"SPY","1611672360000","January 26, 2021 9:46 am","-16.10427565339","384.715","4055731","2491150.3","-3144296.4"
"SPY","1611672480000","January 26, 2021 9:48 am","-13.679298789786","384.78","4302048","2808773.2","-3397263.2"
"SPY","1611672540000","January 26, 2021 9:49 am","-13.654336438802","384.905","4375399","2904509.4","-3501941.1"
"SPY","1611672600000","January 26, 2021 9:50 am","-12.584024025479","384.93","4458933","3018454","-3579567.2"
"SPY","1611672660000","January 26, 2021 9:51 am","-25.115545510038","384.4","4685340","3060332.4","-4237081.1"
"SPY","1611672720000","January 26, 2021 9:52 am","-23.274496674932","384.62","4885163","3284018.3","-4421015.4"
"SPY","1611672780000","January 26, 2021 9:53 am","-25.069812502073","384.605","4975255","3365841.5","-4613128.6"
"SPY","1611672840000","January 26, 2021 9:54 am","-26.148339590676","384.695","5138763","3461410.8","-4805112"
"SPY","1611672900000","January 26, 2021 9:55 am","-22.504900183577","384.67","5213070","3633997.5","-4807193.7"
"SPY","1611672960000","January 26, 2021 9:56 am","-23.218461711644","384.64","5365613","3716732.8","-4962545.6"
"SPY","1611673020000","January 26, 2021 9:57 am","-24.891812344121","384.775","5681101","3819382.4","-5233511.4"
"SPY","1611673080000","January 26, 2021 9:58 am","-24.105053643129","384.725","5779771","3929843.9","-5323060.8"
"SPY","1611673140000","January 26, 2021 9:59 am","-24.479910497529","384.8","5849224","3993246.1","-5425130.9"
"SPY","1611673200000","January 26, 2021 10:00 am","-22.774323305373","384.795","5956047","4118218.5","-5474667.9"
"SPY","1611673260000","January 26, 2021 10:01 am","-20.723408655745","384.835","6111594","4317503","-5584033.6"
"SPY","1611673320000","January 26, 2021 10:02 am","-17.568947679218","384.95","6214930","4472213.8","-5564111.6"
"SPY","1611673380000","January 26, 2021 10:03 am","-13.120746805642","385.24","6330536","4753230.7","-5583844.3"
"SPY","1611673440000","January 26, 2021 10:04 am","-9.0715426563269","385.275","6408135","4968973.3","-5550290"
