"Symbol","Timestamp","Human Time","NOPE","Stock Price","Stock Volume","Call Net Delta * Volume","Put Net Delta * Volume"
"SPY","1615300260000","March 9, 2021 9:31 am","5.4645719496827","385.97","3193176","531016.5","-356523.1"
"SPY","1615300320000","March 9, 2021 9:32 am","8.6866654370346","386.205","3768065","942353.5","-615034.3"
"SPY","1615300380000","March 9, 2021 9:33 am","4.4194781178063","385.665","4395743","1101570.4","-907301.5"
"SPY","1615300440000","March 9, 2021 9:34 am","2.9597872614858","386.095","4977378","1422141.6","-1274821.8"
"SPY","1615300500000","March 9, 2021 9:35 am","3.8506735459459","386.065","5539340","1596719.5","-1383417.6"
"SPY","1615300560000","March 9, 2021 9:36 am","4.6700789740627","386.095","5843944","1729790.1","-1456873.3"
"SPY","1615300620000","March 9, 2021 9:37 am","2.1268326268681","386.055","6469061","1896412.2","-1758826.1"
"SPY","1615300680000","March 9, 2021 9:38 am","-0.40396652653687","385.875","7102940","1984127.8","-2012821.3"
"SPY","1615300740000","March 9, 2021 9:39 am","-1.5329205808817","385.785","7528968","2062968.6","-2178381.7"
"SPY","1615300800000","March 9, 2021 9:40 am","-0.062322847148851","385.985","8067186","2254568.9","-2259596.6"
"SPY","1615300860000","March 9, 2021 9:41 am","-2.2555949451835","385.585","8436231","2273112.9","-2463400.1"
"SPY","1615300920000","March 9, 2021 9:42 am","-5.6104391707315","385.465","9047347","2332138.9","-2839734.8"
"SPY","1615300980000","March 9, 2021 9:43 am","-9.6078254875759","385.365","9409714","2460571.5","-3364640.4"
"SPY","1615301040000","March 9, 2021 9:44 am","-6.414504197759","385.955","9912551","2888986.2","-3524827.2"
"SPY","1615301100000","March 9, 2021 9:45 am","-1.4549370812479","386.515","10772782","3554482.5","-3711219.7"
"SPY","1615301220000","March 9, 2021 9:47 am","1.2922247202125","386.695","11808604","4220481.4","-4067887.7"
"SPY","1615301280000","March 9, 2021 9:48 am","-0.41004880796912","386.495","12801598","4392724.7","-4445217.5"
"SPY","1615301340000","March 9, 2021 9:49 am","0.058053888033136","386.675","12914036","4495824.8","-4488327.7"
"SPY","1615301400000","March 9, 2021 9:50 am","-0.097192556017557","386.815","13262847","4682692.4","-4695582.9"
"SPY","1615301460000","March 9, 2021 9:51 am","0.71181971207197","386.725","13594299","4866151.2","-4769384.3"
"SPY","1615301520000","March 9, 2021 9:52 am","3.3280777803322","386.985","14397470","5344461.5","-4865302.5"
"SPY","1615301580000","March 9, 2021 9:53 am","3.6211287782092","386.955","14729200","5531479.7","-4998116.4"
"SPY","1615301640000","March 9, 2021 9:54 am","4.321366277762","387.065","14781943","5625966","-4987184.1"
"SPY","1615301700000","March 9, 2021 9:55 am","5.8810573858637","387.205","15606753","6069823","-5151980.9"
"SPY","1615301760000","March 9, 2021 9:56 am","5.176080449587","387.195","15957223","6214427.9","-5388469.2"
"SPY","1615301820000","March 9, 2021 9:57 am","4.3990329576268","387.135","16299596","6304194.1","-5587169.5"
"SPY","1615301880000","March 9, 2021 9:58 am","5.5623610774653","387.295","16561388","6555915.5","-5634711.3"
"SPY","1615301940000","March 9, 2021 9:59 am","7.4542581752024","387.495","17278716","6949397.8","-5661397.7"
"SPY","1615302000000","March 9, 2021 10:00 am","5.6112767377433","387.375","17734668","7060879.4","-6065738.1"
"SPY","1615302060000","March 9, 2021 10:01 am","4.5800920655753","387.275","18114697","7244892.1","-6415222.3"
"SPY","1615302120000","March 9, 2021 10:02 am","9.5560308146421","387.885","18506397","8032138.7","-6263661.7"
"SPY","1615302180000","March 9, 2021 10:03 am","9.9291960800866","387.865","18988073","8511525.7","-6626162.7"
"SPY","1615302240000","March 9, 2021 10:04 am","9.4283014125111","387.925","19198858","8690416.5","-6880290.3"
"SPY","1615302300000","March 9, 2021 10:05 am","8.347748210013","387.865","19656429","8839097.8","-7198228.6"
"SPY","1615302360000","March 9, 2021 10:06 am","10.588400888983","388.175","20787800","9614668.8","-7413573.2"
"SPY","1615302420000","March 9, 2021 10:07 am","10.882549919753","388.165","21531156","9920329.7","-7577190.9"
"SPY","1615302480000","March 9, 2021 10:08 am","8.9087303729915","387.955","21854324","9942437.8","-7995495"
"SPY","1615302540000","March 9, 2021 10:09 am","9.7835259869954","388.085","22177535","10248996.6","-8079251.7"
"SPY","1615302600000","March 9, 2021 10:10 am","9.0918155126118","387.845","22537172","10413420.8","-8364382.7"
"SPY","1615302660000","March 9, 2021 10:11 am","5.5189643135529","387.645","22915198","10197879.3","-8933197.7"
"SPY","1615302720000","March 9, 2021 10:12 am","6.1873448151972","387.635","23229562","10472031.5","-9034738.4"
"SPY","1615302780000","March 9, 2021 10:13 am","5.625844371032","387.645","23415358","10691665.9","-9374354.3"
"SPY","1615302840000","March 9, 2021 10:14 am","3.9477210733985","387.585","23723976","10721175.6","-9784619.2"
"SPY","1615302900000","March 9, 2021 10:15 am","3.8240647055946","387.535","23998914","10867024.1","-9949290.1"
"SPY","1615302960000","March 9, 2021 10:16 am","6.2848205575703","387.815","24294700","11350044.3","-9823166"
"SPY","1615303020000","March 9, 2021 10:17 am","10.434350584381","388.145","24579937","12122610.1","-9557853.3"
"SPY","1615303080000","March 9, 2021 10:18 am","10.93840177828","388.16","24883819","12406612.1","-9684720"
"SPY","1615303140000","March 9, 2021 10:19 am","11.367403050622","388.235","25189486","12736698","-9873307.6"
"SPY","1615303200000","March 9, 2021 10:20 am","11.154261555453","388.265","25589694","12910069.9","-10055728.5"
"SPY","1615303260000","March 9, 2021 10:21 am","11.269561145342","388.255","25766321","13046667.5","-10142916.2"
"SPY","1615303320000","March 9, 2021 10:22 am","13.602148524831","388.435","25936121","13570948.7","-10043079"
"SPY","1615303380000","March 9, 2021 10:23 am","13.017676313978","388.355","26187643","13608246.4","-10199223.8"
"SPY","1615303440000","March 9, 2021 10:24 am","10.61128300914","388.005","26614939","13478694.5","-10654508"
"SPY","1615303500000","March 9, 2021 10:25 am","11.04340498062","388.13","26931748","13699524","-10725342"
