date_date,Ticker,Share_Volume,Call_Delta,Put_Delta,Call_Volume,Put_Volume,Total_Option_Delta,NOPE,NOPE_MAD,uniqueKey,ticker,date,open,high,low,close,adjustedClose,volume,nextDay_date,nextDay_open,nextDay_high,nextDay_low,nextDay_close,nextDay_adjClose,nextDay_volume,isDayBeforeExDiv,Min2Day_date,Min3Day_date,Min5Day_date,Min14Day_date,Min30Day_date,Min2Day_closeLow,Min3Day_closeLow,Min5Day_closeLow,Min14Day_closeLow,Min30Day_closeLow,Min2Day_%diff,Min3Day_%diff,Min5Day_%diff,Min14Day_%diff,Min30Day_%diff
1/2/18,SPY,86655700,28824830,-24572005,768631,1442411,4252825,4.9077,-0.5746,SPY2018-01-02,SPY,1/2/18 0:00,267.839996,268.809998,267.399994,268.769989,255.195923,86655700,1/3/18 0:00,268.959991,270.640015,268.959991,270.470001,256.810028,90070400,FALSE,1/3/18 0:00,1/3/18 0:00,1/3/18 0:00,1/3/18 0:00,2/8/18 0:00,270.470001,270.470001,270.470001,270.470001,257.630005,0.633%,0.633%,0.633%,0.633%,-4.145%
1/3/18,SPY,90070400,51322070,-30634021,1037012,1805655,20688048,22.9688,1.1548,SPY2018-01-03,SPY,1/3/18 0:00,268.959991,270.640015,268.959991,270.470001,256.810028,90070400,1/4/18 0:00,271.200012,272.160004,270.540009,271.609985,257.892456,80636400,FALSE,1/4/18 0:00,1/4/18 0:00,1/4/18 0:00,1/4/18 0:00,2/8/18 0:00,271.609985,271.609985,271.609985,271.609985,257.630005,0.421%,0.421%,0.421%,0.421%,-4.747%
1/4/18,SPY,80636400,71835782,-38394482,1683489,1916618,33441299,41.4717,3.113,SPY2018-01-04,SPY,1/4/18 0:00,271.200012,272.160004,270.540009,271.609985,257.892456,80636400,1/5/18 0:00,272.51001,273.559998,271.950012,273.420013,259.611115,83524000,FALSE,1/5/18 0:00,1/5/18 0:00,1/5/18 0:00,1/5/18 0:00,2/8/18 0:00,273.420013,273.420013,273.420013,273.420013,257.630005,0.666%,0.666%,0.666%,0.666%,-5.147%
1/5/18,SPY,83524000,67618906,-28704364,1421040,1780114,38914541,46.5908,2.9608,SPY2018-01-05,SPY,1/5/18 0:00,272.51001,273.559998,271.950012,273.420013,259.611115,83524000,1/8/18 0:00,273.309998,274.100006,272.980011,273.920013,260.085846,57319200,FALSE,1/8/18 0:00,1/8/18 0:00,1/8/18 0:00,1/8/18 0:00,2/8/18 0:00,273.920013,273.920013,273.920013,273.920013,257.630005,0.183%,0.183%,0.183%,0.183%,-5.775%
1/8/18,SPY,57319200,36189612,-26006670,962292,1432828,10182942,17.7653,0.0775,SPY2018-01-08,SPY,1/8/18 0:00,273.309998,274.100006,272.980011,273.920013,260.085846,57319200,1/9/18 0:00,274.399994,275.25,274.079987,274.540009,260.67453,57254000,FALSE,1/10/18 0:00,1/10/18 0:00,1/10/18 0:00,1/10/18 0:00,2/8/18 0:00,274.119995,274.119995,274.119995,274.119995,257.630005,0.073%,0.073%,0.073%,0.073%,-5.947%
1/9/18,SPY,57254000,50510824,-38882444,1295725,1660862,11628379,20.3102,0.2014,SPY2018-01-09,SPY,1/9/18 0:00,274.399994,275.25,274.079987,274.540009,260.67453,57254000,1/10/18 0:00,273.679993,274.420013,272.920013,274.119995,260.275726,69574300,FALSE,1/10/18 0:00,1/10/18 0:00,1/10/18 0:00,1/10/18 0:00,2/8/18 0:00,274.119995,274.119995,274.119995,274.119995,257.630005,-0.153%,-0.153%,-0.153%,-0.153%,-6.159%
1/10/18,SPY,69574300,56212060,-37431219,1335196,1956497,18780840,26.9939,0.7391,SPY2018-01-10,SPY,1/10/18 0:00,273.679993,274.420013,272.920013,274.119995,260.275726,69574300,1/11/18 0:00,274.75,276.119995,274.559998,276.119995,262.174683,62361500,FALSE,1/11/18 0:00,1/11/18 0:00,1/11/18 0:00,1/11/18 0:00,2/8/18 0:00,276.119995,276.119995,276.119995,276.119995,257.630005,0.730%,0.730%,0.730%,0.730%,-6.016%
1/11/18,SPY,62361500,59398596,-23643207,1293505,1393770,35755388,57.3357,3.231,SPY2018-01-11,SPY,1/11/18 0:00,274.75,276.119995,274.559998,276.119995,262.174683,62361500,1/12/18 0:00,276.420013,278.109985,276.079987,277.920013,263.88382,90816100,FALSE,1/16/18 0:00,1/16/18 0:00,1/16/18 0:00,1/16/18 0:00,2/8/18 0:00,276.970001,276.970001,276.970001,276.970001,257.630005,0.308%,0.308%,0.308%,0.308%,-6.696%
1/12/18,SPY,90816100,95720399,-41813952,2265894,2254734,53906447,59.3578,3.4009,SPY2018-01-12,SPY,1/12/18 0:00,276.420013,278.109985,276.079987,277.920013,263.88382,90816100,1/16/18 0:00,279.350006,280.089996,276.179993,276.970001,262.981812,106555100,FALSE,1/16/18 0:00,1/16/18 0:00,1/16/18 0:00,2/2/18 0:00,2/8/18 0:00,276.970001,276.970001,276.970001,275.450012,257.630005,-0.342%,-0.342%,-0.342%,-0.889%,-7.301%
1/16/18,SPY,106555100,63058692,-89009441,2332134,2865604,-25950749,-24.3543,-3.5145,SPY2018-01-16,SPY,1/16/18 0:00,279.350006,280.089996,276.179993,276.970001,262.981812,106555100,1/17/18 0:00,278.029999,280.049988,276.970001,279.609985,265.488434,113258800,FALSE,1/18/18 0:00,1/18/18 0:00,1/18/18 0:00,2/5/18 0:00,2/8/18 0:00,279.140015,279.140015,279.140015,263.929993,257.630005,0.783%,0.783%,0.783%,-4.708%,-6.983%
1/17/18,SPY,113258800,78952846,-40267258,1628395,1935614,38685587,34.1568,1.3266,SPY2018-01-17,SPY,1/17/18 0:00,278.029999,280.049988,276.970001,279.609985,265.488434,113258800,1/18/18 0:00,279.480011,279.959991,278.579987,279.140015,265.042236,100728000,FALSE,1/18/18 0:00,1/18/18 0:00,1/18/18 0:00,2/5/18 0:00,2/8/18 0:00,279.140015,279.140015,279.140015,263.929993,257.630005,-0.168%,-0.168%,-0.168%,-5.608%,-7.861%
1/18/18,SPY,100728000,53048599,-38135746,1354267,1555008,14912852,14.8051,-0.3131,SPY2018-01-18,SPY,1/18/18 0:00,279.480011,279.959991,278.579987,279.140015,265.042236,100728000,1/19/18 0:00,279.799988,280.410004,279.140015,280.410004,266.248047,140920100,FALSE,1/19/18 0:00,1/19/18 0:00,1/19/18 0:00,2/5/18 0:00,2/8/18 0:00,280.410004,280.410004,280.410004,263.929993,257.630005,0.455%,0.455%,0.455%,-5.449%,-7.706%
1/19/18,SPY,140920100,70097617,-29763830,1369950,1763896,40333786,28.6217,0.7728,SPY2018-01-19,SPY,1/19/18 0:00,279.799988,280.410004,279.140015,280.410004,266.248047,140920100,1/22/18 0:00,280.170013,282.690002,280.109985,282.690002,268.412872,91322400,FALSE,1/22/18 0:00,1/22/18 0:00,1/22/18 0:00,2/8/18 0:00,2/8/18 0:00,282.690002,282.690002,282.690002,257.630005,257.630005,0.813%,0.813%,0.813%,-8.124%,-8.124%
1/22/18,SPY,91322400,50268681,-26598543,1103268,1628979,23670138,25.9193,0.4947,SPY2018-01-22,SPY,1/22/18 0:00,280.170013,282.690002,280.109985,282.690002,268.412872,91322400,1/23/18 0:00,282.73999,283.619995,282.369995,283.290009,268.982666,97084700,FALSE,1/24/18 0:00,1/24/18 0:00,1/24/18 0:00,2/8/18 0:00,2/8/18 0:00,283.179993,283.179993,283.179993,257.630005,257.630005,0.173%,0.173%,0.173%,-8.865%,-8.865%
1/23/18,SPY,97084700,84613560,-37850107,2132411,1876867,46763452,48.1677,2.2153,SPY2018-01-23,SPY,1/23/18 0:00,282.73999,283.619995,282.369995,283.290009,268.982666,97084700,1/24/18 0:00,284.019989,284.700012,281.839996,283.179993,268.878113,134816100,FALSE,1/24/18 0:00,1/24/18 0:00,1/30/18 0:00,2/8/18 0:00,2/8/18 0:00,283.179993,283.179993,281.76001,257.630005,257.630005,-0.039%,-0.039%,-0.540%,-9.058%,-9.058%
1/24/18,SPY,134816100,81260993,-64450002,2349813,2710197,16810990,12.4696,-1.1041,SPY2018-01-24,SPY,1/24/18 0:00,284.019989,284.700012,281.839996,283.179993,268.878113,134816100,1/25/18 0:00,284.160004,284.269989,282.399994,283.299988,268.992096,84587300,FALSE,1/25/18 0:00,1/25/18 0:00,1/30/18 0:00,2/8/18 0:00,2/8/18 0:00,283.299988,283.299988,281.76001,257.630005,257.630005,0.042%,0.042%,-0.501%,-9.023%,-9.023%
